"","x","y","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"37",36.5,249.5,4789,5223,13,87,43,42,2,144,5789,17,84
"38",37.5,249.5,4581,5422,11,75,39,34,2,122,5853,16,87
"39",38.5,249.5,4730,4969,6,96,42,37,2,165,5986,21,81
"40",39.5,249.5,4688,5219,9,96,29,36,4,126,5804,20,84
"186",185.5,249.5,4695,5552,13,72,44,37,3,76,5275,18,89
"187",186.5,249.5,5006,5805,16,69,52,27,4,73,5591,14,92
"188",187.5,249.5,5041,5865,14,80,26,34,0,62,5417,26,93
"189",188.5,249.5,4997,5917,8,56,35,24,3,49,5293,18,94
"190",189.5,249.5,5049,5964,10,61,38,31,2,58,5438,19,95
"193",192.5,249.5,5060,6165,13,65,41,28,2,46,5495,20,98
"194",193.5,249.5,5080,6185,6,57,44,28,3,52,5489,22,98
"195",194.5,249.5,5078,5829,10,71,38,42,7,35,5366,20,93
"196",195.5,249.5,5070,5814,11,44,37,27,0,58,5448,22,93
"197",196.5,249.5,4994,5857,10,60,29,27,0,44,5387,16,93
"198",197.5,249.5,4966,5791,12,63,29,34,6,68,5413,15,92
"199",198.5,249.5,4771,5452,11,62,36,39,2,59,4635,12,87
"200",199.5,249.5,4887,5778,14,70,37,33,2,73,5554,18,92
"368",117.5,248.5,4546,4919,13,114,50,53,4,181,5971,15,80
"369",118.5,248.5,4674,5228,22,88,34,44,3,127,5611,13,84
"435",184.5,248.5,4868,5612,7,84,26,40,2,83,5523,28,90
"436",185.5,248.5,4746,5634,12,70,30,40,4,58,5338,19,90
"437",186.5,248.5,4672,5558,13,84,38,44,6,64,5415,15,89
"438",187.5,248.5,4695,5680,10,79,46,38,3,62,5388,18,91
"439",188.5,248.5,4952,5822,14,62,41,36,2,59,5498,15,93
"440",189.5,248.5,4955,5729,10,56,41,39,3,64,5339,21,91
"441",190.5,248.5,5023,5960,13,54,40,35,2,58,5409,21,95
"442",191.5,248.5,4819,5753,13,65,57,38,4,64,5391,21,92
"443",192.5,248.5,5044,6165,8,57,34,30,2,45,5560,18,98
"444",193.5,248.5,5025,6063,9,58,36,31,5,43,5392,17,96
"445",194.5,248.5,5076,5916,15,72,35,29,0,48,5359,19,94
"446",195.5,248.5,5021,5970,8,57,33,36,5,57,5448,23,95
"447",196.5,248.5,5067,5787,9,62,34,39,6,65,5445,13,92
"448",197.5,248.5,4919,5663,18,72,31,32,4,88,5418,31,90
"449",198.5,248.5,4955,5628,14,82,27,31,3,70,5535,9,90
"602",101.5,247.5,4492,5287,11,102,55,38,2,130,5526,25,85
"603",102.5,247.5,4712,5375,9,83,39,33,0,119,5662,22,86
"619",118.5,247.5,4723,5443,17,103,37,32,3,99,5584,12,87
"620",119.5,247.5,4721,5529,16,106,32,39,5,81,5565,22,89
"621",120.5,247.5,4616,5403,10,96,43,41,3,113,5621,15,87
"685",184.5,247.5,5054,5784,8,83,39,24,4,69,5591,20,92
"686",185.5,247.5,4912,5861,14,51,33,37,3,76,5553,19,93
"687",186.5,247.5,4948,5984,14,59,40,23,1,51,5484,16,95
"688",187.5,247.5,4854,5809,19,71,27,34,5,45,5365,21,92
"689",188.5,247.5,5055,6002,15,70,30,26,2,61,5423,15,95
"690",189.5,247.5,4951,5999,13,61,38,37,2,49,5489,14,95
"691",190.5,247.5,5282,5963,12,52,37,43,3,48,5499,16,95
"692",191.5,247.5,4807,5899,10,74,53,27,3,43,5089,12,94
"693",192.5,247.5,5009,6015,11,62,31,38,6,46,5305,19,95
"694",193.5,247.5,5018,6026,15,53,40,38,4,47,5464,21,96
"695",194.5,247.5,5026,5965,12,66,35,35,4,50,5370,22,95
"696",195.5,247.5,4942,5630,12,82,33,46,1,36,5233,26,90
"697",196.5,247.5,4999,5892,11,66,36,24,0,53,5445,14,94
"698",197.5,247.5,4999,5771,10,79,29,25,4,44,5443,13,92
"699",198.5,247.5,4750,5759,9,67,40,38,5,55,5436,20,92
"700",199.5,247.5,4972,5864,15,78,30,36,4,79,5373,19,93
"701",200.5,247.5,4877,5665,17,94,43,40,2,69,5488,20,90
"702",201.5,247.5,4644,5471,9,126,36,105,4,108,5791,20,88
"851",100.5,246.5,4629,5194,12,91,37,36,2,147,5917,17,84
"852",101.5,246.5,4597,5357,11,96,36,31,1,95,5564,14,86
"853",102.5,246.5,4746,5477,8,78,47,29,7,106,5553,11,88
"854",103.5,246.5,4695,5480,17,78,28,39,4,100,5524,23,88
"855",104.5,246.5,4874,5675,10,83,34,23,5,90,5459,17,91
"856",105.5,246.5,4776,5394,11,84,42,26,4,120,5624,16,87
"869",118.5,246.5,4800,5361,7,85,32,20,2,119,5723,21,86
"870",119.5,246.5,4767,5526,10,79,53,41,2,118,5587,23,88
"871",120.5,246.5,4548,5518,13,88,38,30,2,111,5548,19,88
"872",121.5,246.5,4786,5374,11,96,52,47,2,129,5800,16,86
"934",183.5,246.5,4964,5555,20,84,40,33,4,99,5729,31,89
"935",184.5,246.5,4948,5918,10,71,43,37,2,75,5261,22,94
"936",185.5,246.5,4984,5905,19,65,45,32,2,57,5528,18,94
"937",186.5,246.5,4832,5854,16,62,41,27,1,55,5440,20,93
"938",187.5,246.5,5046,5935,13,66,37,25,7,47,5413,14,94
"939",188.5,246.5,4937,5812,11,86,42,26,8,38,5296,14,93
"940",189.5,246.5,5093,6077,14,50,30,23,3,49,5369,24,96
"941",190.5,246.5,5008,5981,17,52,37,39,3,56,5447,18,95
"942",191.5,246.5,4932,5961,10,58,27,36,3,53,5614,21,95
"944",193.5,246.5,5080,5988,12,44,40,33,1,49,5501,13,95
"945",194.5,246.5,4846,5715,5,41,40,37,4,48,4938,14,91
"946",195.5,246.5,4927,5685,13,66,50,38,3,51,5307,15,91
"947",196.5,246.5,4917,5783,9,64,34,31,3,46,5257,27,92
"948",197.5,246.5,5005,5908,6,76,32,37,0,49,5444,20,94
"949",198.5,246.5,4896,5730,8,64,33,29,4,70,5297,15,91
"950",199.5,246.5,4984,5891,10,72,39,25,1,50,5362,15,94
"951",200.5,246.5,4750,5607,8,78,38,42,2,62,5396,14,90
"952",201.5,246.5,4874,5690,9,80,39,35,4,73,5561,21,91
"1101",100.5,245.5,4430,5168,15,103,41,43,0,124,5645,20,83
"1102",101.5,245.5,4690,5405,12,84,31,26,2,108,5563,19,87
"1103",102.5,245.5,4635,5472,13,86,38,37,2,100,5699,13,88
"1104",103.5,245.5,4652,5434,17,74,47,34,1,108,5701,14,87
"1105",104.5,245.5,4805,5522,9,85,43,40,4,97,5585,11,88
"1106",105.5,245.5,4827,5805,12,71,41,40,3,85,5509,16,92
"1120",119.5,245.5,4746,5568,10,98,53,30,4,100,5564,17,89
"1121",120.5,245.5,4689,5340,11,76,28,31,0,122,5782,22,86
"1122",121.5,245.5,4825,5446,11,86,32,37,1,113,5618,25,87
"1123",122.5,245.5,4580,5276,8,111,38,36,4,110,5588,24,85
"1124",123.5,245.5,4614,5356,13,90,43,42,2,109,5792,22,86
"1184",183.5,245.5,4888,5750,13,75,49,32,4,57,5479,21,92
"1185",184.5,245.5,4910,5969,15,51,41,29,2,56,5426,23,95
"1186",185.5,245.5,4876,5917,15,69,40,37,0,63,5651,15,94
"1187",186.5,245.5,5161,5897,16,64,34,26,0,86,5531,15,94
"1188",187.5,245.5,4928,5853,11,77,45,37,0,63,5415,21,93
"1189",188.5,245.5,4775,5672,14,68,33,24,3,36,5178,21,91
"1190",189.5,245.5,4901,5910,10,51,39,31,3,42,5261,13,94
"1191",190.5,245.5,4931,5974,17,45,37,37,3,36,5355,20,95
"1192",191.5,245.5,5158,6017,12,57,34,33,2,54,5283,13,95
"1194",193.5,245.5,5001,6065,12,59,36,25,6,43,5409,19,96
"1195",194.5,245.5,5199,6096,11,59,32,33,4,49,5391,24,97
"1197",196.5,245.5,4969,6012,12,67,25,34,4,41,5304,19,95
"1198",197.5,245.5,4828,5648,19,67,36,31,9,62,5294,20,90
"1199",198.5,245.5,4904,5765,8,68,42,23,2,77,5437,19,92
"1200",199.5,245.5,4901,6022,8,58,28,37,0,61,5625,14,95
"1201",200.5,245.5,5025,5857,12,60,41,31,2,57,5376,19,93
"1202",201.5,245.5,4957,5718,15,75,32,39,3,63,5551,24,91
"1203",202.5,245.5,4841,5636,17,86,42,38,7,77,5704,18,90
"1351",100.5,244.5,4422,4879,10,95,45,44,1,145,5810,18,79
"1352",101.5,244.5,4653,5391,11,76,37,33,2,116,5657,23,87
"1353",102.5,244.5,4862,5527,9,79,48,31,2,88,5615,14,88
"1354",103.5,244.5,4775,5345,12,80,40,36,2,116,5768,19,86
"1355",104.5,244.5,4801,5470,6,100,38,38,5,100,5779,21,88
"1356",105.5,244.5,4560,5293,12,76,34,39,3,143,5687,17,85
"1370",119.5,244.5,4722,5533,10,89,35,34,3,85,5652,14,89
"1371",120.5,244.5,4737,5476,11,81,44,40,5,108,5599,17,88
"1372",121.5,244.5,4680,5157,14,95,41,34,4,131,5703,17,83
"1373",122.5,244.5,4744,5407,10,88,47,41,2,108,5677,18,87
"1374",123.5,244.5,4607,5247,12,95,40,36,3,126,5812,13,85
"1433",182.5,244.5,4906,5323,16,94,49,43,1,109,5724,11,86
"1434",183.5,244.5,5053,5887,14,96,36,31,2,68,5422,22,94
"1435",184.5,244.5,5047,5941,10,73,37,37,3,62,5358,15,94
"1436",185.5,244.5,4894,5788,16,68,41,28,2,65,5487,22,92
"1437",186.5,244.5,4849,5590,8,73,42,20,1,68,5457,17,89
"1438",187.5,244.5,4866,5908,21,71,32,35,1,52,5427,13,94
"1439",188.5,244.5,5056,5941,7,68,40,24,5,58,5470,29,94
"1440",189.5,244.5,5080,5912,9,59,43,39,0,51,5488,17,94
"1441",190.5,244.5,4968,5981,11,52,42,43,0,51,5298,22,95
"1442",191.5,244.5,5003,5983,12,57,30,32,1,54,5264,14,95
"1443",192.5,244.5,5035,5929,4,60,35,40,3,50,5373,21,94
"1444",193.5,244.5,5054,5929,7,53,32,42,3,45,5450,15,94
"1445",194.5,244.5,4820,5923,8,60,58,39,0,50,5276,24,94
"1446",195.5,244.5,4853,5640,14,48,50,36,2,36,5141,21,90
"1447",196.5,244.5,4951,5953,12,61,39,26,3,51,5606,15,95
"1448",197.5,244.5,4936,5735,12,60,39,36,8,45,5008,15,91
"1449",198.5,244.5,5033,5796,14,63,24,23,4,61,5536,14,92
"1450",199.5,244.5,4876,5901,14,73,29,27,0,75,5446,28,94
"1451",200.5,244.5,4889,5821,11,64,40,27,3,68,5366,21,93
"1452",201.5,244.5,4997,6023,10,82,42,35,3,66,5341,13,95
"1453",202.5,244.5,4947,5696,13,67,43,31,4,60,5489,19,91
"1527",26.5,243.5,4749,5443,12,95,40,30,6,122,5719,19,87
"1528",27.5,243.5,4733,5282,16,82,36,38,3,127,5670,16,85
"1602",101.5,243.5,4840,5550,16,87,36,42,4,99,5490,21,89
"1603",102.5,243.5,4625,5530,15,91,47,32,5,82,5554,25,89
"1604",103.5,243.5,4855,5555,5,82,42,37,5,94,5521,28,89
"1605",104.5,243.5,4767,5418,16,79,34,43,2,104,5615,17,87
"1606",105.5,243.5,4657,5373,9,76,39,37,1,129,5586,18,86
"1607",106.5,243.5,4628,5376,17,97,47,40,1,115,5780,10,86
"1621",120.5,243.5,4783,5473,19,85,53,38,4,101,5696,13,88
"1622",121.5,243.5,4465,5051,11,149,42,73,4,135,5698,22,82
"1624",123.5,243.5,4710,5398,4,91,37,33,2,104,5763,23,87
"1625",124.5,243.5,4652,5303,14,127,46,25,4,129,5765,16,85
"1626",125.5,243.5,4524,5085,18,144,58,41,2,152,5878,32,82
"1683",182.5,243.5,4602,4902,9,132,72,62,8,110,5703,31,80
"1684",183.5,243.5,4997,6074,21,66,35,33,6,72,5492,18,96
"1685",184.5,243.5,4892,5628,11,69,52,31,2,54,5326,17,90
"1686",185.5,243.5,4873,5822,11,69,36,28,2,51,5468,23,93
"1688",187.5,243.5,5055,6079,8,43,41,26,2,50,5526,19,96
"1691",190.5,243.5,4878,5819,12,56,45,27,7,58,5338,16,93
"1692",191.5,243.5,4935,6034,11,55,45,29,4,43,5368,17,96
"1693",192.5,243.5,4851,5926,9,61,34,26,2,46,5309,17,94
"1694",193.5,243.5,5068,5975,12,57,47,50,1,37,5441,15,95
"1695",194.5,243.5,5134,5949,9,62,30,28,1,51,5380,15,94
"1696",195.5,243.5,4947,5865,12,66,42,41,2,47,5354,22,93
"1697",196.5,243.5,5003,5977,15,67,39,35,3,51,5373,24,95
"1698",197.5,243.5,4835,5687,11,78,60,34,3,45,5096,11,91
"1699",198.5,243.5,5039,5935,16,52,38,33,3,53,5413,14,94
"1700",199.5,243.5,4983,5900,14,74,27,21,4,58,5560,25,94
"1701",200.5,243.5,5005,5894,9,50,39,39,3,61,5551,20,94
"1702",201.5,243.5,4810,5745,13,61,32,33,5,76,5576,16,92
"1703",202.5,243.5,4717,5778,8,107,42,68,8,75,5458,22,92
"1765",14.5,242.5,4823,5292,9,99,46,30,4,106,5794,14,85
"1774",23.5,242.5,4660,5350,7,85,43,43,1,142,5697,19,86
"1775",24.5,242.5,4420,4790,12,197,57,62,2,150,5905,32,78
"1776",25.5,242.5,4864,5332,8,96,49,39,4,126,5766,19,86
"1777",26.5,242.5,4671,5445,9,74,34,46,5,112,5708,15,87
"1778",27.5,242.5,4722,5288,12,78,52,38,3,118,5763,19,85
"1855",104.5,242.5,4950,5665,14,78,48,31,2,87,5725,11,90
"1856",105.5,242.5,4654,5325,9,104,48,38,1,136,5733,17,86
"1857",106.5,242.5,4755,5547,10,100,40,38,5,81,5550,17,89
"1871",120.5,242.5,4737,5520,15,94,41,49,1,103,5474,21,88
"1872",121.5,242.5,4692,5512,7,84,27,28,5,88,5611,19,88
"1874",123.5,242.5,4729,5545,8,84,45,38,4,100,5339,17,89
"1875",124.5,242.5,4703,5412,11,91,42,30,1,112,5651,27,87
"1934",183.5,242.5,4876,5896,6,72,32,50,4,72,5520,16,94
"1935",184.5,242.5,4991,5949,9,70,32,28,3,67,5651,28,94
"1936",185.5,242.5,4992,5826,12,75,33,33,4,59,5468,15,93
"1937",186.5,242.5,4941,6004,11,52,26,31,4,36,5418,19,95
"1938",187.5,242.5,4963,5921,13,55,29,35,3,53,5324,15,94
"1939",188.5,242.5,5139,6030,15,61,24,34,6,49,5348,21,96
"1940",189.5,242.5,4969,5668,10,48,36,24,2,50,5086,23,90
"1941",190.5,242.5,4966,5783,18,67,34,40,4,44,5186,16,92
"1944",193.5,242.5,5037,5959,11,49,38,26,3,44,5391,28,95
"1945",194.5,242.5,5003,6010,12,60,34,29,2,42,5424,10,95
"1946",195.5,242.5,4823,5843,16,74,36,33,1,39,5144,14,93
"1947",196.5,242.5,5040,5897,18,62,30,30,1,59,5423,14,94
"1948",197.5,242.5,5072,5933,12,72,36,40,7,49,5172,20,94
"1949",198.5,242.5,5105,5932,16,69,39,36,4,41,5520,12,94
"1950",199.5,242.5,5040,5885,16,69,35,34,3,61,5364,17,94
"1951",200.5,242.5,4931,5861,15,61,31,31,5,65,5328,22,93
"1952",201.5,242.5,4780,5775,10,79,30,36,1,81,5597,23,92
"2015",14.5,241.5,4642,5242,11,92,49,36,2,133,5681,19,84
"2017",16.5,241.5,4543,5044,10,92,30,31,6,155,5847,20,82
"2018",17.5,241.5,4500,5001,13,87,44,25,1,170,6044,20,81
"2019",18.5,241.5,4662,5043,12,91,43,44,4,164,5764,15,82
"2024",23.5,241.5,4870,5252,15,81,32,37,2,100,5742,22,85
"2026",25.5,241.5,4696,5408,13,91,48,33,4,99,5670,13,87
"2029",28.5,241.5,4635,5017,15,90,57,43,3,138,5952,27,81
"2030",29.5,241.5,4810,5222,14,74,52,27,2,148,5716,23,84
"2031",30.5,241.5,4737,5323,15,97,40,45,2,91,5678,15,86
"2109",108.5,241.5,4498,4998,6,96,54,35,3,165,5922,27,81
"2122",121.5,241.5,4687,5516,13,83,34,38,4,120,5530,17,88
"2123",122.5,241.5,4619,5486,6,86,41,41,2,106,5623,18,88
"2124",123.5,241.5,4621,5270,14,75,41,25,1,145,5797,23,85
"2125",124.5,241.5,4738,5505,9,89,43,27,7,111,5490,21,88
"2126",125.5,241.5,4654,5108,13,100,39,43,3,123,5647,22,83
"2127",126.5,241.5,4557,5199,16,102,38,42,6,140,5687,19,84
"2128",127.5,241.5,4667,5038,12,85,47,45,3,147,5822,27,82
"2184",183.5,241.5,4965,5695,8,76,36,27,0,84,5553,8,91
"2185",184.5,241.5,4873,5826,11,58,39,38,2,69,5293,23,93
"2186",185.5,241.5,4926,5910,14,78,38,38,2,41,5318,17,94
"2187",186.5,241.5,5028,6079,18,51,31,24,6,48,5323,20,96
"2188",187.5,241.5,5126,5998,14,42,43,30,4,43,5331,21,95
"2189",188.5,241.5,5222,6036,11,61,31,39,3,37,5351,26,96
"2190",189.5,241.5,5046,5893,13,52,42,27,1,56,5451,20,94
"2191",190.5,241.5,4917,5867,8,61,40,34,5,47,5395,25,93
"2192",191.5,241.5,5006,6022,12,59,37,30,5,47,5346,16,95
"2193",192.5,241.5,5087,6038,13,41,43,28,1,48,5364,17,96
"2194",193.5,241.5,5075,5960,10,68,42,27,2,40,5425,14,95
"2195",194.5,241.5,4878,5851,7,95,32,53,4,52,5417,19,93
"2196",195.5,241.5,5033,5973,7,66,35,36,3,38,5430,22,95
"2197",196.5,241.5,5096,6012,13,55,37,28,2,52,5332,24,95
"2199",198.5,241.5,5248,5866,11,75,38,42,6,58,5651,12,93
"2200",199.5,241.5,5000,5745,10,70,40,19,6,55,5282,29,92
"2201",200.5,241.5,4855,5765,18,56,37,33,3,63,5297,14,92
"2202",201.5,241.5,4917,5756,8,79,39,24,2,60,5511,21,92
"2255",4.5,240.5,4627,5483,7,86,35,44,1,133,5584,28,88
"2256",5.5,240.5,4448,4704,8,83,57,38,4,134,5406,17,77
"2257",6.5,240.5,4613,5209,9,71,48,34,3,130,5556,23,84
"2258",7.5,240.5,4358,4766,19,156,78,79,4,161,6073,34,78
"2259",8.5,240.5,4366,4579,11,217,128,57,1,162,6220,46,75
"2264",13.5,240.5,4809,5114,10,101,48,39,6,152,5746,19,83
"2265",14.5,240.5,4444,4896,18,83,43,29,0,144,5834,16,80
"2266",15.5,240.5,4418,4900,9,83,49,35,5,160,5755,14,80
"2267",16.5,240.5,4537,5000,12,81,41,30,5,163,5965,25,81
"2268",17.5,240.5,4624,5077,11,78,40,30,3,133,5971,14,82
"2269",18.5,240.5,4667,5040,18,77,38,33,5,187,5902,17,82
"2270",19.5,240.5,4586,4931,15,75,56,38,1,155,5760,20,80
"2271",20.5,240.5,4696,4985,15,87,51,34,4,129,5755,24,81
"2277",26.5,240.5,4556,5247,13,94,34,30,2,131,5664,15,85
"2278",27.5,240.5,4596,5126,12,72,42,29,2,142,5952,31,83
"2280",29.5,240.5,4745,5171,14,130,54,54,2,117,5757,20,83
"2281",30.5,240.5,4774,5370,15,93,47,36,0,113,5765,24,86
"2372",121.5,240.5,4682,5265,14,93,41,41,2,141,5814,19,85
"2373",122.5,240.5,4597,5431,21,92,51,23,3,100,5722,22,87
"2374",123.5,240.5,4742,5119,9,83,42,43,3,124,5622,20,83
"2375",124.5,240.5,4649,5317,7,82,29,36,5,127,5755,18,86
"2376",125.5,240.5,4752,5393,16,93,48,31,3,88,5516,12,87
"2377",126.5,240.5,4722,5254,10,89,44,31,2,135,5777,16,85
"2378",127.5,240.5,4479,5180,11,83,26,44,2,131,5768,22,84
"2434",183.5,240.5,4923,5699,6,65,29,40,5,64,5400,17,91
"2436",185.5,240.5,5116,5931,11,72,26,28,2,31,5553,22,94
"2437",186.5,240.5,5035,5937,19,68,38,27,2,49,5427,25,94
"2438",187.5,240.5,5212,5970,11,55,35,29,2,42,5421,16,95
"2439",188.5,240.5,5086,5914,11,53,39,35,0,53,5319,22,94
"2440",189.5,240.5,4834,5655,16,46,29,34,2,46,5154,12,90
"2441",190.5,240.5,4833,5677,7,56,57,30,1,43,5051,28,91
"2442",191.5,240.5,5173,6043,14,59,26,32,3,46,5497,19,96
"2443",192.5,240.5,5203,5996,12,62,38,32,3,45,5352,28,95
"2444",193.5,240.5,5083,6136,10,54,37,39,0,49,5491,20,97
"2445",194.5,240.5,5116,5876,8,61,43,33,6,50,5394,12,93
"2446",195.5,240.5,5089,6029,7,62,23,29,0,36,5391,19,96
"2447",196.5,240.5,4801,5849,10,49,39,26,3,59,5235,12,93
"2448",197.5,240.5,4919,5862,10,62,34,35,1,39,5371,15,93
"2449",198.5,240.5,4772,5691,16,65,44,40,1,44,5069,29,91
"2450",199.5,240.5,4742,5753,7,63,45,36,5,51,5276,18,92
"2451",200.5,240.5,4974,5741,13,71,45,36,5,75,5590,20,92
"2452",201.5,240.5,4970,5708,18,84,41,39,4,65,5324,15,91
"2504",3.5,239.5,4784,5421,14,88,35,40,3,112,5907,26,87
"2505",4.5,239.5,4665,5271,12,96,46,36,2,104,5656,24,85
"2506",5.5,239.5,4723,5171,8,85,34,43,3,142,5854,16,83
"2514",13.5,239.5,4530,5152,12,55,46,38,1,143,5676,13,83
"2516",15.5,239.5,4676,5174,19,86,34,25,2,145,5771,16,84
"2517",16.5,239.5,4853,5482,11,79,40,37,2,76,5584,22,88
"2518",17.5,239.5,4986,5676,13,62,46,27,1,78,5543,13,91
"2519",18.5,239.5,4863,5694,11,75,33,34,7,83,5635,15,91
"2520",19.5,239.5,4743,5273,14,72,35,37,2,141,5699,16,85
"2521",20.5,239.5,4664,4948,10,86,47,37,2,157,5860,18,80
"2522",21.5,239.5,4643,5067,6,90,39,32,3,145,5798,24,82
"2525",24.5,239.5,4584,5203,17,133,56,43,6,128,5791,20,84
"2526",25.5,239.5,4576,5180,11,79,41,39,4,120,5615,17,84
"2527",26.5,239.5,4546,4870,14,83,62,46,7,163,5872,15,79
"2622",121.5,239.5,4518,4895,12,197,53,76,0,147,5621,25,80
"2623",122.5,239.5,4439,4978,14,132,48,64,6,152,5832,24,81
"2624",123.5,239.5,4849,5591,11,100,37,41,2,117,5600,15,89
"2625",124.5,239.5,4712,5179,10,91,35,45,3,130,5707,27,84
"2627",126.5,239.5,4721,5430,11,73,30,35,4,112,5633,17,87
"2685",184.5,239.5,5006,5915,9,74,41,38,5,59,5408,21,94
"2686",185.5,239.5,5155,6063,23,60,34,21,4,45,5506,22,96
"2687",186.5,239.5,5220,5988,13,52,34,27,3,50,5262,17,95
"2688",187.5,239.5,5245,5980,9,47,35,32,4,42,5380,18,95
"2689",188.5,239.5,5125,5983,4,49,29,17,2,35,5379,17,95
"2690",189.5,239.5,5107,5825,11,65,35,38,4,43,5303,27,93
"2691",190.5,239.5,5068,5923,10,55,31,34,2,41,5232,19,94
"2692",191.5,239.5,5183,6161,13,56,35,28,4,45,5256,19,97
"2693",192.5,239.5,5082,6053,9,45,34,27,3,49,5478,20,96
"2694",193.5,239.5,5135,6054,18,46,41,33,2,50,5381,15,96
"2695",194.5,239.5,5183,5925,10,52,33,29,4,45,5402,24,94
"2696",195.5,239.5,4962,5911,9,59,30,36,2,47,5409,16,94
"2697",196.5,239.5,5048,5866,14,51,34,32,3,59,5351,16,93
"2698",197.5,239.5,4976,6007,12,62,42,35,0,34,5287,20,95
"2699",198.5,239.5,4978,5924,11,68,36,22,3,45,5330,10,94
"2700",199.5,239.5,5002,5944,16,65,38,23,2,52,5415,16,94
"2701",200.5,239.5,4959,5763,16,78,31,23,2,76,5661,22,92
"2702",201.5,239.5,4880,5640,11,75,48,33,6,84,5565,19,90
"2754",3.5,238.5,4707,5385,9,86,38,36,4,108,5665,18,86
"2763",12.5,238.5,4683,5106,16,84,35,32,5,138,5951,20,83
"2764",13.5,238.5,4652,5152,11,66,49,30,4,167,5816,16,83
"2765",14.5,238.5,4860,5768,15,70,42,39,1,63,5485,17,92
"2766",15.5,238.5,4826,5685,17,65,50,25,4,56,5249,20,91
"2767",16.5,238.5,5112,5827,7,59,44,33,5,49,5395,19,93
"2768",17.5,238.5,4971,5761,20,83,45,18,2,69,5521,26,92
"2769",18.5,238.5,4875,5740,14,79,57,22,6,91,5608,24,92
"2770",19.5,238.5,4778,5572,12,75,28,31,6,103,5591,19,89
"2771",20.5,238.5,4719,5683,13,65,43,44,3,78,5557,13,91
"2772",21.5,238.5,4757,5124,8,94,35,39,0,104,5674,25,83
"2773",22.5,238.5,4452,4964,13,110,43,48,5,154,5758,24,81
"2873",122.5,238.5,4421,4941,12,160,50,43,5,137,5689,28,80
"2876",125.5,238.5,4517,5011,5,106,62,43,2,150,5832,23,81
"2877",126.5,238.5,4756,5526,13,93,32,33,1,106,5659,18,88
"2878",127.5,238.5,4698,5373,14,101,49,40,3,101,5580,20,86
"2879",128.5,238.5,4733,5324,15,103,41,39,5,123,5543,16,86
"2934",183.5,238.5,5011,5810,13,75,28,30,3,73,5496,19,92
"2935",184.5,238.5,4877,5759,19,75,29,37,5,54,5507,19,92
"2936",185.5,238.5,5004,5914,16,57,41,36,1,42,5405,20,94
"2937",186.5,238.5,5088,6081,15,63,34,33,3,51,5444,14,96
"2938",187.5,238.5,5037,6063,10,68,38,28,8,42,5332,12,96
"2939",188.5,238.5,5136,5998,12,52,33,28,1,57,5363,24,95
"2940",189.5,238.5,4876,5833,13,63,40,39,2,41,5270,15,93
"2941",190.5,238.5,5037,5885,15,50,29,38,1,42,5380,19,94
"2942",191.5,238.5,5106,6037,11,39,28,41,2,50,5403,15,96
"2943",192.5,238.5,5131,5941,11,42,36,28,4,55,5340,17,94
"2944",193.5,238.5,5065,5915,13,55,28,36,0,44,5416,21,94
"2945",194.5,238.5,5017,6018,15,70,41,39,6,51,5462,22,95
"2946",195.5,238.5,5122,5985,9,62,39,30,0,49,5307,18,95
"2947",196.5,238.5,4953,5874,20,63,40,31,3,42,5402,13,93
"2948",197.5,238.5,5042,5880,15,69,33,27,4,51,5396,16,93
"2949",198.5,238.5,4836,5803,13,92,31,35,4,43,5356,26,92
"2950",199.5,238.5,4912,5747,16,75,38,30,2,81,5424,17,92
"2951",200.5,238.5,4925,5733,13,76,35,31,1,91,5631,18,91
"2952",201.5,238.5,4475,4980,14,163,64,59,2,137,5911,33,81
"3004",3.5,237.5,4839,5315,14,94,29,35,1,121,5749,19,85
"3005",4.5,237.5,4531,4910,11,81,35,33,2,180,5861,21,80
"3013",12.5,237.5,4698,5113,15,81,44,35,4,144,5858,23,83
"3014",13.5,237.5,4853,5415,9,76,41,36,2,101,5525,18,87
"3015",14.5,237.5,5099,5835,24,67,32,24,4,40,5183,15,93
"3016",15.5,237.5,5028,5919,8,66,34,40,4,48,5353,17,94
"3017",16.5,237.5,4812,5801,18,63,46,28,0,66,5477,18,92
"3018",17.5,237.5,4875,5853,13,60,35,31,3,55,5390,17,93
"3020",19.5,237.5,4865,5655,12,57,46,40,2,64,5351,20,90
"3021",20.5,237.5,4915,5768,11,65,31,25,1,57,5554,14,92
"3022",21.5,237.5,4871,5614,9,73,44,35,2,66,5513,23,90
"3024",23.5,237.5,4696,5408,11,89,42,36,0,102,5597,19,87
"3025",24.5,237.5,4518,5078,11,76,47,31,3,151,5979,15,82
"3026",25.5,237.5,4478,4990,20,74,40,32,2,166,5916,21,81
"3027",26.5,237.5,4659,5248,9,69,39,35,2,112,5798,25,85
"3029",28.5,237.5,4673,5031,15,98,45,38,3,151,5741,16,81
"3125",124.5,237.5,4508,5045,16,115,41,66,4,141,5796,30,82
"3127",126.5,237.5,4646,5278,12,96,37,43,0,136,5833,29,85
"3129",128.5,237.5,4674,5325,8,90,42,36,3,122,5602,15,86
"3130",129.5,237.5,4575,5061,9,105,47,45,5,138,5789,24,82
"3184",183.5,237.5,4649,5471,18,74,34,35,2,72,5359,20,88
"3185",184.5,237.5,4943,5728,8,87,32,33,1,80,5516,16,91
